gene_id	xtr_pep
PECUL23A000004	ENSXETP00000061180
PECUL23A000005	ENSXETP00000087461
PECUL23A000006	ENSXETP00000100751
PECUL23A000008	ENSXETP00000037743
PECUL23A000011	ENSXETP00000042154
PECUL23A000012	ENSXETP00000075928
PECUL23A000017	ENSXETP00000041999
PECUL23A000019	ENSXETP00000088569
PECUL23A000021	ENSXETP00000095806
PECUL23A000024	ENSXETP00000060594
PECUL23A000025	ENSXETP00000101469
PECUL23A000026	ENSXETP00000059117
PECUL23A000027	ENSXETP00000100751
PECUL23A000040	ENSXETP00000037610
PECUL23A000044	ENSXETP00000030609
PECUL23A000048	ENSXETP00000083445
PECUL23A000050	ENSXETP00000013311
PECUL23A000053	ENSXETP00000061182
PECUL23A000055	ENSXETP00000095789
PECUL23A000056	ENSXETP00000085105
PECUL23A000057	ENSXETP00000060661
PECUL23A000059	ENSXETP00000079038
PECUL23A000062	ENSXETP00000037194
PECUL23A000063	ENSXETP00000087461
PECUL23A000066	ENSXETP00000089042
PECUL23A000072	ENSXETP00000030842
PECUL23A000073	ENSXETP00000071026
PECUL23A000075	ENSXETP00000083563
PECUL23A000078	ENSXETP00000049946
PECUL23A000079	ENSXETP00000051206
PECUL23A000080	ENSXETP00000071667
PECUL23A000081	ENSXETP00000077434
PECUL23A000084	ENSXETP00000094998
PECUL23A000086	ENSXETP00000079170
PECUL23A000091	ENSXETP00000014714
PECUL23A000093	ENSXETP00000010799
PECUL23A000094	ENSXETP00000073597
PECUL23A000095	ENSXETP00000093091
PECUL23A000096	ENSXETP00000079778
PECUL23A000098	ENSXETP00000098088
PECUL23A000104	ENSXETP00000012463
PECUL23A000107	ENSXETP00000038121
PECUL23A000111	ENSXETP00000094540
PECUL23A000112	ENSXETP00000101503
PECUL23A000113	ENSXETP00000021793
PECUL23A000114	ENSXETP00000089245
PECUL23A000115	ENSXETP00000100751
PECUL23A000117	ENSXETP00000017486
PECUL23A000118	ENSXETP00000097244
PECUL23A000121	ENSXETP00000066740
PECUL23A000125	ENSXETP00000012886
PECUL23A000127	ENSXETP00000067099
PECUL23A000129	ENSXETP00000071536
PECUL23A000131	ENSXETP00000061898
PECUL23A000132	ENSXETP00000098088
PECUL23A000136	ENSXETP00000012776
PECUL23A000142	ENSXETP00000039781
PECUL23A000144	ENSXETP00000023283
PECUL23A000152	ENSXETP00000063621
PECUL23A000160	ENSXETP00000020706
PECUL23A000163	ENSXETP00000007464
PECUL23A000171	ENSXETP00000077512
PECUL23A000177	ENSXETP00000005989
PECUL23A000187	ENSXETP00000066793
PECUL23A000189	ENSXETP00000059508
PECUL23A000193	ENSXETP00000034012
PECUL23A000194	ENSXETP00000024496
PECUL23A000195	ENSXETP00000089410
PECUL23A000197	ENSXETP00000015969
PECUL23A000200	ENSXETP00000057493
PECUL23A000202	ENSXETP00000039112
PECUL23A000205	ENSXETP00000030360
PECUL23A000206	ENSXETP00000053699
PECUL23A000210	ENSXETP00000036544
PECUL23A000216	ENSXETP00000066314
PECUL23A000219	ENSXETP00000071032
PECUL23A000220	ENSXETP00000078065
PECUL23A000222	ENSXETP00000049688
PECUL23A000223	ENSXETP00000062538
PECUL23A000225	ENSXETP00000099248
PECUL23A000230	ENSXETP00000081532
PECUL23A000234	ENSXETP00000099314
PECUL23A000241	ENSXETP00000098891
PECUL23A000242	ENSXETP00000055200
PECUL23A000248	ENSXETP00000006166
PECUL23A000252	ENSXETP00000014504
PECUL23A000253	ENSXETP00000077614
PECUL23A000257	ENSXETP00000044540
PECUL23A000260	ENSXETP00000098102
PECUL23A000261	ENSXETP00000014679
PECUL23A000264	ENSXETP00000069027
PECUL23A000265	ENSXETP00000063197
PECUL23A000266	ENSXETP00000082691
PECUL23A000267	ENSXETP00000081937
PECUL23A000268	ENSXETP00000098088
PECUL23A000270	ENSXETP00000066019
PECUL23A000271	ENSXETP00000004299
PECUL23A000273	ENSXETP00000062683
PECUL23A000275	ENSXETP00000077043
PECUL23A000276	ENSXETP00000089410
PECUL23A000284	ENSXETP00000019583
PECUL23A000285	ENSXETP00000089245
PECUL23A000286	ENSXETP00000063027
PECUL23A000289	ENSXETP00000087506
PECUL23A000291	ENSXETP00000098132
PECUL23A000294	ENSXETP00000022566
PECUL23A000298	ENSXETP00000066019
PECUL23A000300	ENSXETP00000029987
PECUL23A000301	ENSXETP00000025683
PECUL23A000302	ENSXETP00000086177
PECUL23A000310	ENSXETP00000059487
PECUL23A000312	ENSXETP00000069591
PECUL23A000313	ENSXETP00000082691
PECUL23A000319	ENSXETP00000087293
PECUL23A000321	ENSXETP00000070113
PECUL23A000323	ENSXETP00000018585
PECUL23A000328	ENSXETP00000022847
PECUL23A000329	ENSXETP00000067153
PECUL23A000332	ENSXETP00000079843
PECUL23A000333	ENSXETP00000072826
PECUL23A000335	ENSXETP00000030149
PECUL23A000336	ENSXETP00000071236
PECUL23A000337	ENSXETP00000086385
PECUL23A000338	ENSXETP00000071329
PECUL23A000342	ENSXETP00000022743
PECUL23A000344	ENSXETP00000090841
PECUL23A000349	ENSXETP00000037399
PECUL23A000350	ENSXETP00000095732
PECUL23A000351	ENSXETP00000094348
PECUL23A000352	ENSXETP00000045515
PECUL23A000355	ENSXETP00000084298
PECUL23A000356	ENSXETP00000069290
PECUL23A000357	ENSXETP00000009337
PECUL23A000365	ENSXETP00000013093
PECUL23A000366	ENSXETP00000035627
PECUL23A000369	ENSXETP00000072826
PECUL23A000370	ENSXETP00000066019
PECUL23A000371	ENSXETP00000098088
PECUL23A000373	ENSXETP00000091239
PECUL23A000379	ENSXETP00000076399
PECUL23A000380	ENSXETP00000098864
PECUL23A000381	ENSXETP00000066019
PECUL23A000384	ENSXETP00000076762
PECUL23A000390	ENSXETP00000061083
PECUL23A000402	ENSXETP00000060857
PECUL23A000407	ENSXETP00000063616
PECUL23A000408	ENSXETP00000066652
PECUL23A000409	ENSXETP00000091588
PECUL23A000411	ENSXETP00000074926
PECUL23A000413	ENSXETP00000066684
PECUL23A000414	ENSXETP00000040773
PECUL23A000415	ENSXETP00000016560
PECUL23A000417	ENSXETP00000032828
PECUL23A000419	ENSXETP00000019594
PECUL23A000420	ENSXETP00000020342
PECUL23A000421	ENSXETP00000013836
PECUL23A000426	ENSXETP00000037728
PECUL23A000428	ENSXETP00000030283
PECUL23A000435	ENSXETP00000013251
PECUL23A000436	ENSXETP00000014309
PECUL23A000438	ENSXETP00000065377
PECUL23A000440	ENSXETP00000039553
PECUL23A000441	ENSXETP00000061898
PECUL23A000446	ENSXETP00000098088
PECUL23A000448	ENSXETP00000097755
PECUL23A000449	ENSXETP00000055344
PECUL23A000450	ENSXETP00000060138
PECUL23A000452	ENSXETP00000007829
PECUL23A000464	ENSXETP00000064368
PECUL23A000468	ENSXETP00000087605
PECUL23A000470	ENSXETP00000062095
PECUL23A000479	ENSXETP00000029310
PECUL23A000480	ENSXETP00000013721
PECUL23A000483	ENSXETP00000088100
PECUL23A000484	ENSXETP00000022902
PECUL23A000485	ENSXETP00000017035
PECUL23A000486	ENSXETP00000046752
PECUL23A000492	ENSXETP00000096784
PECUL23A000493	ENSXETP00000034397
PECUL23A000494	ENSXETP00000061898
PECUL23A000495	ENSXETP00000077800
PECUL23A000497	ENSXETP00000049139
PECUL23A000499	ENSXETP00000048213
PECUL23A000504	ENSXETP00000085983
PECUL23A000507	ENSXETP00000082426
PECUL23A000512	ENSXETP00000034714
PECUL23A000513	ENSXETP00000072826
PECUL23A000515	ENSXETP00000020627
PECUL23A000520	ENSXETP00000099996
PECUL23A000522	ENSXETP00000022160
PECUL23A000524	ENSXETP00000039153
PECUL23A000526	ENSXETP00000061674
PECUL23A000527	ENSXETP00000030372
PECUL23A000528	ENSXETP00000018710
PECUL23A000529	ENSXETP00000025204
PECUL23A000530	ENSXETP00000100751
PECUL23A000532	ENSXETP00000021288
PECUL23A000533	ENSXETP00000054329
PECUL23A000536	ENSXETP00000046387
PECUL23A000540	ENSXETP00000018416
PECUL23A000547	ENSXETP00000001532
PECUL23A000553	ENSXETP00000013657
PECUL23A000555	ENSXETP00000085078
PECUL23A000558	ENSXETP00000073103
PECUL23A000561	ENSXETP00000071026
PECUL23A000562	ENSXETP00000035768
PECUL23A000564	ENSXETP00000021027
PECUL23A000565	ENSXETP00000033834
PECUL23A000567	ENSXETP00000006450
PECUL23A000568	ENSXETP00000090774
PECUL23A000569	ENSXETP00000019397
